OTU	Kingdom	Phylum	Class	Order	Family	Genus	Species	Element
contig_153	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	Microviridae sp. ct531586
contig_312	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	Microviridae sp. ctHr0701
contig_1577	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1106	dark_matter sp. cat1106
contig_2397	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	Microviridae sp. cth3d538
contig_2418	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	Microviridae sp. ctFFp561
contig_469	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	not classified	Lachnospiraceae sp. cat2549	Lachnospiraceae sp. cat2549
contig_2215	Bacteria	Firmicutes	Clostridia	Clostridiales	not classified	not classified	Clostridiales sp. cat2087	Clostridiales sp. cat2087
contig_2405	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	Microviridae sp. ctw3z547
contig_1495	Bacteria	not classified	not classified	not classified	not classified	not classified	not classified sp. cat1456	not classified sp. cat1456
contig_428	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	Microviridae sp. ct7wr816
contig_2403	Viruses	Kitrinoviricota	Alsuviricetes	Martellivirales	Virgaviridae	Tobamovirus	Tobamovirus_undefined_species	Virgaviridae sp. cts40546
contig_2225	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	uncultured Ruminococcus sp.	uncultured Ruminococcus sp. sp. cat2097
contig_2083	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriales_undefined_family	Flavobacteriales_undefined_family_undefined_genus	Flavobacteriales bacterium	Flavobacteriales bacterium sp. cat1981
contig_1518	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1093	dark_matter sp. cat1093
contig_5	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	Podoviridae_undefined_genus	Podoviridae_undefined_genus_undefined_species	CrAss-like virus sp. ctd7k888
contig_2352	Viruses	Kitrinoviricota	Alsuviricetes	Martellivirales	Virgaviridae	Tobamovirus	Tobamovirus_undefined_species	Virgaviridae sp. ctyne490
contig_1268	not classified	not classified	not classified	not classified	not classified	not classified	not classified sp. cat1252	not classified sp. cat1252
contig_1202	Bacteria	not classified	not classified	not classified	not classified	not classified	not classified sp. cat1191	not classified sp. cat1191
contig_2107	Viruses	Kitrinoviricota	Alsuviricetes	Martellivirales	Virgaviridae	Tobamovirus	Tobamovirus_undefined_species	Virgaviridae sp. ctzGx198
contig_104	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	not classified	not classified	Bacteroidales sp. cat1040	Bacteroidales sp. cat1040
contig_1325	Bacteria	not classified	not classified	not classified	not classified	not classified	Terrabacteria group sp. cat1306	Terrabacteria group sp. cat1306
contig_433	Bacteria	Firmicutes	not classified	not classified	not classified	not classified	Firmicutes sp. cat2517	Firmicutes sp. cat2517
contig_1003	Bacteria	not classified	not classified	not classified	not classified	not classified	not classified sp. cat1005	not classified sp. cat1005
contig_701	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	Microviridae sp. ctXis097
contig_1926	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides merdae	Parabacteroides merdae sp. cat1839
contig_2382	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	Salasvirus	Salasvirus_undefined_species	Podoviridae sp. ctroE523
contig_423	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	Microviridae sp. ctnR2811
contig_1759	Bacteria	Firmicutes	Clostridia	Clostridiales	not classified	not classified	Clostridiales sp. cat1687	Clostridiales sp. cat1687
contig_767	Bacteria	Firmicutes	Clostridia	Clostridiales	not classified	not classified	Clostridiales sp. cat2819	Clostridiales sp. cat2819
contig_2318	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1275	dark_matter sp. cat1275
contig_366	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Zoogloeaceae	Thauera	Thauera sp. 2A1	Thauera sp. 2A1 sp. cat2455
contig_2264	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	Microviridae sp. ctXew397
contig_394	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Spiromicrovirus	Spiromicrovirus_undefined_species	Microviridae sp. ctAh0781
contig_445	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1305	dark_matter sp. cat1305
contig_2361	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	Fipvunavirus	Fipvunavirus_undefined_species	Podoviridae sp. ctn8r500
contig_424	not classified	not classified	not classified	not classified	not classified	not classified	not classified sp. cat2509	not classified sp. cat2509
contig_2387	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	Microviridae sp. ctxdv528
contig_1050	Bacteria	not classified	not classified	not classified	not classified	not classified	not classified sp. cat1049	not classified sp. cat1049
contig_149	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	Microviridae sp. ctotm542
contig_309	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1293	dark_matter sp. cat1293
contig_148	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	Microviridae sp. ctZEh531
contig_2293	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Unclassified virus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Unclassified virus_Genus_undefined	Unclassified virus sp. ctkJE429	Unclassified virus sp. ctkJE429
contig_2388	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	Microviridae sp. ctJLh529
contig_2357	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_undefined_genus	[Eubacterium] rectale	[Eubacterium] rectale sp. cat2208
contig_959	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	Coprococcus eutactus	Coprococcus eutactus ATCC 27759 sp. cat2996
contig_1330	Bacteria	Firmicutes	Clostridia	Clostridiales	not classified	not classified	Clostridiales sp. cat1312	Clostridiales sp. cat1312
contig_590	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1319	dark_matter sp. cat1319
contig_826	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	Microviridae sp. ct9Z8232
contig_1893	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1175	dark_matter sp. cat1175
contig_599	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	Microviridae sp. ctnKG989
contig_496	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1307	dark_matter sp. cat1307
contig_832	not classified	not classified	not classified	not classified	not classified	not classified	not classified sp. cat2879	not classified sp. cat2879
contig_1072	Bacteria	Firmicutes	Clostridia	Clostridiales	not classified	not classified	Clostridiales sp. cat1070	Clostridiales sp. cat1070
contig_2081	not classified	not classified	not classified	not classified	not classified	not classified	not classified sp. cat1979	not classified sp. cat1979
contig_740	Viruses	Kitrinoviricota	Alsuviricetes	Martellivirales	Virgaviridae	Tobamovirus	Tobamovirus_undefined_species	Virgaviridae sp. ctNU9139
contig_1372	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Poophage MBI-2016a	Poophage MBI-2016a sp. cat1350
contig_2375	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	Podoviridae_undefined_genus	Podoviridae_undefined_genus_undefined_species	Podoviridae sp. ctk59515
contig_1765	Bacteria	Firmicutes	not classified	not classified	not classified	not classified	Firmicutes sp. cat1692	Firmicutes sp. cat1692
contig_140	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	Microviridae sp. ctPqw443
contig_1282	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	Podoviridae_undefined_genus	Podoviridae_undefined_genus_undefined_species	Podoviridae sp. ctdPI313
contig_2332	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1280	dark_matter sp. cat1280
contig_1942	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	uncultured Blautia sp.	uncultured Blautia sp. sp. cat1854
contig_632	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_undefined_order	Alphaproteobacteria_undefined_order_undefined_family	Alphaproteobacteria_undefined_order_undefined_family_undefined_genus	uncultured alpha proteobacterium HF0070_14E07	uncultured alpha proteobacterium HF0070_14E07 sp. cat2695
contig_1773	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii	Faecalibacterium prausnitzii sp. cat1699
contig_455	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	Microviridae sp. ctWXy842
contig_2351	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1285	dark_matter sp. cat1285
contig_157	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	Microviridae sp. ctGjl629
contig_2310	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella stercorea	Prevotella stercorea sp. cat2173
contig_20	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	Podoviridae_undefined_genus	Podoviridae_undefined_genus_undefined_species	CrAss-like virus sp. ctUHo106
contig_1314	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1052	dark_matter sp. cat1052
contig_2360	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Lubbockvirus	Lubbockvirus_undefined_species	Myoviridae sp. ct28a499
contig_421	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	Microviridae sp. ctDol809
contig_2327	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1279	dark_matter sp. cat1279
contig_26	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	Podoviridae_undefined_genus	Podoviridae_undefined_genus_undefined_species	CrAss-like virus sp. ctQSI645
contig_2366	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	Salasvirus	Salasvirus_undefined_species	Podoviridae sp. ctRhj505
contig_212	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	Microviridae sp. ctEXC239
contig_1855	not classified	not classified	not classified	not classified	not classified	not classified	not classified sp. cat1778	not classified sp. cat1778
contig_1675	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1133	dark_matter sp. cat1133
contig_381	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	Microviridae sp. ctqMk768
contig_598	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1320	dark_matter sp. cat1320
contig_2396	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	Microviridae sp. ctUXX538
contig_2320	Bacteria	Firmicutes	not classified	not classified	not classified	not classified	Firmicutes sp. cat2180	Firmicutes sp. cat2180
contig_288	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	Microviridae sp. ctTYq675
contig_1610	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes finegoldii CAG:68	Alistipes finegoldii CAG:68 sp. cat1560
contig_2015	Bacteria	not classified	not classified	not classified	not classified	not classified	not classified sp. cat1920	not classified sp. cat1920
contig_661	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1333	dark_matter sp. cat1333
contig_2394	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	Microviridae sp. ct7Ie536
contig_101	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	Lightbulbvirus	Cellulophaga virus Cba41	Podoviridae sp. ctLN113
contig_1296	Bacteria	not classified	not classified	not classified	not classified	not classified	not classified sp. cat1277	not classified sp. cat1277
contig_23	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	Podoviridae_undefined_genus	Podoviridae_undefined_genus_undefined_species	CrAss-like virus sp. ctVlX436
contig_2232	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1259	dark_matter sp. cat1259
contig_214	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae	not classified	crAss-like viruses sp. cat2025	crAss-like viruses sp. cat2025
contig_1458	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1083	dark_matter sp. cat1083
contig_491	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	Microviridae sp. ctEYI879
contig_1797	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	Klebsiella pneumoniae sp. cat1722
contig_480	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	Microviridae sp. ctlVm868
contig_558	not classified	not classified	not classified	not classified	not classified	not classified	not classified sp. cat2631	not classified sp. cat2631
contig_2460	not classified	not classified	not classified	not classified	not classified	not classified	not classified sp. cat2318	not classified sp. cat2318
contig_1850	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1166	dark_matter sp. cat1166
contig_1216	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1035	dark_matter sp. cat1035
contig_2358	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Myoviridae_undefined_genus	Myoviridae_undefined_genus_undefined_species	Myoviridae sp. ct8XA496
contig_63	not classified	not classified	not classified	not classified	not classified	not classified	not classified sp. cat2692	not classified sp. cat2692
contig_856	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Chlamydiamicrovirus	Chlamydiamicrovirus_undefined_species	Microviridae sp. ctHMo264
contig_2359	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Myoviridae_undefined_genus	Myoviridae_undefined_genus_undefined_species	Myoviridae sp. ctNrE497
contig_198	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	Microviridae sp. ctlXj083
contig_677	not classified	not classified	not classified	not classified	not classified	not classified	not classified sp. cat2733	not classified sp. cat2733
contig_2459	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella stercorea	Prevotella stercorea sp. cat2316
contig_2042	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_undefined_family	Lawsonibacter	Lawsonibacter asaccharolyticus	Lawsonibacter asaccharolyticus sp. cat1946
contig_2365	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Certrevirus	Cronobacter virus CR3	Myoviridae sp. ctd2c504
contig_1057	Bacteria	Candidatus Saccharibacteria	not classified	not classified	not classified	not classified	Candidatus Saccharibacteria sp. cat1055	Candidatus Saccharibacteria sp. cat1055
contig_1080	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfosporosinus	Desulfosporosinus sp. OT	Desulfosporosinus sp. OT sp. cat1077
contig_1345	Bacteria	Firmicutes	not classified	not classified	not classified	not classified	Firmicutes sp. cat1324	Firmicutes sp. cat1324
contig_2064	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	Microviridae sp. cty8B178
contig_883	Bacteria	Firmicutes	Clostridia	not classified	not classified	not classified	Clostridia sp. cat2925	Clostridia sp. cat2925
contig_2158	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	Microviridae sp. ctdxh281
contig_98	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp. cat3017	Bacteroides sp. cat3017
contig_368	not classified	not classified	not classified	not classified	not classified	not classified	not classified sp. cat2457	not classified sp. cat2457
contig_265	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	Microviridae sp. ct8PG651
contig_136	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	Microviridae sp. ctB9Y399
contig_1279	Bacteria	Proteobacteria	Gammaproteobacteria	not classified	not classified	not classified	Gammaproteobacteria sp. cat1261	Gammaproteobacteria sp. cat1261
contig_589	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	Microviridae sp. ct0jq979
contig_1920	Bacteria	not classified	not classified	not classified	not classified	not classified	not classified sp. cat1833	not classified sp. cat1833
contig_2309	Eukaryota	Nematoda	Enoplea	Trichinellida	Trichuridae	Trichuris	Trichuris trichiura	Trichuris trichiura sp. cat2171
contig_658	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_undefined_family	Evtepia	Evtepia gabavorous	Evtepia gabavorous sp. cat2717
contig_2285	Bacteria	Firmicutes	Firmicutes_undefined_class	Firmicutes_undefined_class_undefined_order	Firmicutes_undefined_class_undefined_order_undefined_family	Firmicutes_undefined_class_undefined_order_undefined_family_undefined_genus	Firmicutes bacterium AF36-3BH	Firmicutes bacterium AF36-3BH sp. cat2151
contig_831	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1358	dark_matter sp. cat1358
contig_2044	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelotrichaceae_undefined_genus	Erysipelotrichaceae bacterium 2_2_44A	Erysipelotrichaceae bacterium 2_2_44A sp. cat1947
contig_221	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae	Microviridae_undefined_genus	Microviridae_undefined_genus_undefined_species	Microviridae sp. ctrQ2338
contig_461	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella copri	Prevotella copri sp. cat2541
contig_1959	Bacteria	not classified	not classified	not classified	not classified	not classified	not classified sp. cat1869	not classified sp. cat1869
