OTU	Kingdom	Phylum	Class	Order	Family	Genus	Species	Element
contig_1164	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides salyersiae	Bacteroides salyersiae sp. cat1155
contig_2124	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella sp. cat2015	Prevotella sp. cat2015
contig_1683	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella sp. CAG:933	Veillonella sp. CAG:933 sp. cat1616
contig_575	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1316	dark_matter sp. cat1316
contig_1779	Bacteria	not classified	not classified	not classified	not classified	not classified	not classified sp. cat1704	not classified sp. cat1704
contig_988	Bacteria	Firmicutes	Firmicutes_undefined_class	Firmicutes_undefined_class_undefined_order	Firmicutes_undefined_class_undefined_order_undefined_family	Firmicutes_undefined_class_undefined_order_undefined_family_undefined_genus	Firmicutes bacterium CAG:24	Firmicutes bacterium CAG:24 sp. cat3023
contig_1570	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella copri	Prevotella copri sp. cat1524
contig_1360	Bacteria	not classified	not classified	not classified	not classified	not classified	not classified sp. cat1337	not classified sp. cat1337
contig_1971	Kingdom_undefined	Kingdom_undefined_Phylum_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus	Kingdom_undefined_Phylum_undefined_Class_undefined_Order_undefined_Family_undefined_Genus_dark_matter sp. cat1191	dark_matter sp. cat1191
contig_1053	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Siphoviridae_undefined_genus	Siphoviridae_undefined_genus_undefined_species	Siphoviridae sp. ctQjO61
contig_1148	Bacteria	Firmicutes	Clostridia	Clostridiales	not classified	not classified	Clostridiales sp. cat1138	Clostridiales sp. cat1138
contig_1448	Bacteria	Firmicutes	not classified	not classified	not classified	not classified	Firmicutes sp. cat1414	Firmicutes sp. cat1414
contig_1935	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriales_undefined_family	Flavobacteriales_undefined_family_undefined_genus	Flavobacteriales bacterium	Flavobacteriales bacterium sp. cat1847
contig_1788	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella sp. cat1713	Prevotella sp. cat1713
contig_954	Bacteria	Bacteria_undefined_phylum	Bacteria_undefined_phylum_undefined_class	Bacteria_undefined_phylum_undefined_class_undefined_order	Bacteria_undefined_phylum_undefined_class_undefined_order_undefined_family	Bacteria_undefined_phylum_undefined_class_undefined_order_undefined_family_undefined_genus	Parcubacteria group bacterium ADurb.Bin216	Parcubacteria group bacterium ADurb.Bin216 sp. cat2992
contig_1795	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia sp. BCRC 81119	Blautia sp. BCRC 81119 sp. cat1720
contig_586	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae_undefined_genus	Prevotellaceae bacterium	Prevotellaceae bacterium sp. cat2656
