"4.T.1"	"4.T.2"	"7.T.1"	"7.T.2"	"8.T.1"	"8.T.2"	"9.T.4"	"9.T.Flare"	"10.T.2"	"10.T.3"	"17.T.4"	"17.T.Flare"	"18.T.1"	"18.T.2"	"20.T.1"	"20.T.2"	"32.T.2"	"44.T.1"	"44.T.2"	"57.T.1"	"57.T.2"	"63.T.1"	"63.T.2"	"64.T.1"	"64.T.2"	"68.T.2"	"68.T.Flare"	"69.T.2"	"69.T.Flare"	"72.T.1"	"72.T.2"	"73.T.1"	"73.T.Flare"	"2.T.1"	"2.T.2"	"6.T.2"	"13.T.1"	"13.T.2"	"15.T.1"	"15.T.2"	"21.T.2"	"21.T.Flare"	"22.T.1"	"22.T.2"	"23.T.1"	"23.T.2"	"27.T.1"	"27.T.2"	"29.T.1"	"29.T.2"	"30.T.1"	"30.T.2"	"34.T.3"	"34.T.4"	"38.T.3"	"38.T.4"	"39.T.1"	"39.T.2"	"19.T.1"	"41.T.1"	"41.T.2"	"46.T.3"	"46.T.Flare"	"54.T.1"	"54.T.2"	"55.T.1"	"55.T.2"	"3.T.1"	"3.T.2"	"11.T.1"	"11.T.2"	"19.T.2"	"25.T.1"	"25.T.2"	"26.T.1"	"26.T.2"	"31.T.1"	"31.T.2"	"37.T.1"	"37.T.2"	"47.T.1"	"47.T.2"	"48.T.1"	"48.T.2"	"32.T.1"	"24.T.1"	"49.T.1"	"49.T.2"	"60.T.1"	"60.T.2"	"67.T.1"	"67.T.2"	"74.T.1"	"74.T.2"	"75.T.1"	"75.T.2"	"79.T.1"	"79.T.2"	"6.T.Flare"	"24.T.2"
"contig_1020"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00057747420113	2039.76751406818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"contig_1021"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69.8437865605873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"contig_1022"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01429619785096	1.00367886742982	0	0	2099.242842462	529.55601545171	0	0	0	1.00082664798379	0.999750109226645	6.98437865605873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"contig_1023"	0	0	0	0	0	0	0	0	0	0	0	0	2.08594576603567	8.98470516314945	23.0632746773678	19.4155127773553	6.14035526692635	7.94837362190949	24803.1416633545	6.22636435046982	10.1003997629027	5.06502658015812	2.03428907807931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"contig_1024"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.999747615826789	7.33162937290718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"contig_1025"	0	0	0	65.9978677033368	0	0	0	0	0	0	0.99655676425127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1351.07964096264	14.0977734302673	0	0	0	0	0	0	1.00194933436301	202.552951652349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"contig_1026"	0	0	0	0	0	0	0	0	7.27005673933848	3.47891737981528	0	0	0	0	1.11984615103774	0	0	0	0	0	1.2552871845119	0	24.4872064250219	16.0731447990984	33.0785626567301	0	0	0	0	0	0	0	36.3139343851151	0	0	0	0	0	0	0	78.9110468790035	0	2.22744348926375	0	0	0	2.53449901774965	24.3456154023827	0	1.92154049512685	6.90731382767497	0	0	0	0	0	0	0	0	270.721163427524	23.4926792832471	0	0	0	0	0	3.48401023749297	0	0	10.1232242869419	0	0	0	0	27.8488567617684	0	0	0	0	0	19.9406654264842	3.72176669633245	0	40.7113298487188	0	0	0	0	0	0	0	0	5.50580420184581	17.2094337826494	0	4.41283247360878	0	0	0	4.89869765469249
"contig_1027"	0	188.165168294431	9.40911032246964	906.477614538651	1.02095856993192	31.931787667497	0	0.996595975651688	738.407326627734	82.8950860630582	95.6674491897902	13.1795135567497	52.1178802062426	0	0	2.04317993234577	93.3039746151512	5.96236272274183	0	423.186556168622	116.236891605641	0	629.753816152273	198.300351804948	46.3073178134921	14.0929889569901	11.9329686470134	11.0642454390641	37.0544633779066	2.00348629538111	0	240.795768364188	316.216143447027	25.9396691677467	1248.55654902318	3.98434359945322	0.990801779390327	709.970915085205	31.2110921157889	4.77128963382409	852.646689317424	2.95752520954689	84.3667480472076	0	0	1.01792476104985	43.1334273250328	95.310460007362	22.9472431110522	2244.49575188917	3.88665582222103	2.10495137397651	60.1919156152644	0	4.18829902512454	1.06085804758104	0	1.02504473382309	11.8715506389886	1532.43936825644	1640.54706367596	8.0135549012862	19.0060871199509	0	8.99980894108886	56.2709971269548	61.156500671735	28.1333965000406	1.00296605983636	43.0159229877069	8.98422919242383	34.5475202371236	5.38398365177676	383.686987996077	15.0903026593726	647.208617037262	6.18338693648163	0	41.8902735371002	42.9172051538247	1.00128363979773	0	1.99318617216223	0	0	15.7869287268068	0	0	0	0	0	0	23.5107385226974	6.99153261126843	190.46129575658	49.8883767391919	5.10759030485201	11.3652073038945	4.11043365393778	37.409695909361
"contig_1028"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00625992059087	32.0116515973564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.0299786836056	71.0619096632898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.58701040496832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.99120647006409	0	0	0	0	0	0
"contig_1029"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154.70587869146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
